Мангалор;1263780
Пасай;1694611
Адждабия;89113
Тояма;1849876
Аскапоцалько;3532497
Магнитогорск;532288
Талса;4553433
Джханси;1269006
Цеунг Кван О;1818506
Сьюдад-Боливар;3645532
Гуюань;1809152
Вандсбек;2911285
Миннеаполис;5037649
Тутукуди;8629640
Ардабиль;143083
Чаоян;2038120
Газа;281133
Пальма;2512989
Йокосука;1848313
Хотан;1281019
Тонала;3981369
Панама;3703443
Сочимилько;3514450
Щецин;3083829
Нагасаки;1856177
Пирасикаба;3453643
Рибейран-дас-Невеш;3451353
Хираката;1862540
Иваново;555312
Кумана;3644768
Уджда-Ангад;2540483
Ньюкасл;971421
Неллор;1261529
Синьчжу;1675151
Джаяпура;2082600
Цзиси;2036389
Занзибар;148730
Хавасса;343137
Кучинг;1735634
тонглинг;1792621
Таоюань;6696918
Кассала;372753
Лекки;2332121
Китве;911148
Гифу-ши;1863641
Западный Иерусалим;7498240
Мачида;1857871
Миядзаки;1856717
Луганск;702658
Килунг;1678228
Баринас;3648546
Аль-Хосейма;2558545
Манчестер;2643123
Суррей;6159905
Вила Велья;3445026
Болонья;3181928
Серра;3447779
Самсун;740264
Таллинн;588409
Баменда;2234974
Эль-Обейд;379003
Белло;3688928
Пасто;3672778
Гаоми;1810458
Санта-Фе;3836277
Сан-Педро;2282006
Диадема;3464739
Уичито;4281730
Жители Нового Орлеана;4335045
Самут Пракан;1606590
Арлингтон;4671240
Кливленд;5150529
Бисау;2374775
Илоило;1711005
Хамис Мушайт;105072
Амбато;3660689
Мишратах;2214846
Абомей-Калави;2395914
Бохум;2947416
Бенито Хуарес;6957079
Сектор 3;11048319
Тампа;4174757
Чунцзо;12159964
Тойонака;1849837
Истакалько;3526700
Бетим;3470044
Баушар;288764
Ндалатандо;2239076
Дельмас 73;3726786
Бэтмен;321836
Веллингтон;2179537
Масатлан;3996322
Кашиас-ду-Сул;3466537
Нижний Тагил;520494
Ирапуато;4004330
Бохум-Ордель;6941055
Асуан;359792
Ичиномия;1861949
Брно;3078610
Бауру;3470279
Яссы;675810
Крюгерсдорп;986822
Панихати;1260482
Шибгандж;1185107
Лас-Пальмас-де-Гран-Канария;2515270
Икитос;3696183
Цинъян;12359313
Тоёхаси;1849846
Хэчуань;1808212
Раджамандри;1258932
Кахраманмараш;310859
Минато;1852383
